source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]
PXD055477-S00058_Exploris01_SZ_Xin_secretome_ctl1	Rattus norvegicus	Cell culture	1	not available	not available	not available	S00058_Exploris01_SZ_Xin_secretome_ctl1	proteomic profiling by mass spectrometry	1	S00058_Exploris01_SZ_Xin_secretome_ctl1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD055477-S00058_Exploris01_SZ_Xin_secretome_5p1	Rattus norvegicus	Cell culture	2	not available	not available	not available	S00058_Exploris01_SZ_Xin_secretome_5p1	proteomic profiling by mass spectrometry	1	S00058_Exploris01_SZ_Xin_secretome_5p1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD055477-S00058_Exploris01_SZ_Xin_secretome_5p2	Rattus norvegicus	Cell culture	3	not available	not available	not available	S00058_Exploris01_SZ_Xin_secretome_5p2	proteomic profiling by mass spectrometry	1	S00058_Exploris01_SZ_Xin_secretome_5p2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD055477-S00058_Exploris01_SZ_Xin_secretome_2p3	Rattus norvegicus	Cell culture	4	not available	not available	not available	S00058_Exploris01_SZ_Xin_secretome_2p3	proteomic profiling by mass spectrometry	1	S00058_Exploris01_SZ_Xin_secretome_2p3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD055477-S00058_Exploris01_SZ_Xin_secretome_10p3	Rattus norvegicus	Cell culture	5	not available	not available	not available	S00058_Exploris01_SZ_Xin_secretome_10p3	proteomic profiling by mass spectrometry	1	S00058_Exploris01_SZ_Xin_secretome_10p3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD055477-S00058_Exploris01_SZ_Xin_secretome_ctl2	Rattus norvegicus	Cell culture	6	not available	not available	not available	S00058_Exploris01_SZ_Xin_secretome_ctl2	proteomic profiling by mass spectrometry	1	S00058_Exploris01_SZ_Xin_secretome_ctl2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD055477-S00058_Exploris01_SZ_Xin_secretome_2p2	Rattus norvegicus	Cell culture	7	not available	not available	not available	S00058_Exploris01_SZ_Xin_secretome_2p2	proteomic profiling by mass spectrometry	1	S00058_Exploris01_SZ_Xin_secretome_2p2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD055477-S00058_Exploris01_SZ_Xin_secretome_5p3	Rattus norvegicus	Cell culture	8	not available	not available	not available	S00058_Exploris01_SZ_Xin_secretome_5p3	proteomic profiling by mass spectrometry	1	S00058_Exploris01_SZ_Xin_secretome_5p3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD055477-S00058_Exploris01_SZ_Xin_secretome_10p1	Rattus norvegicus	Cell culture	9	not available	not available	not available	S00058_Exploris01_SZ_Xin_secretome_10p1	proteomic profiling by mass spectrometry	1	S00058_Exploris01_SZ_Xin_secretome_10p1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD055477-S00058_Exploris01_SZ_Xin_secretome_ctl3	Rattus norvegicus	Cell culture	10	not available	not available	not available	S00058_Exploris01_SZ_Xin_secretome_ctl3	proteomic profiling by mass spectrometry	1	S00058_Exploris01_SZ_Xin_secretome_ctl3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	label free sample	1
