source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[digest type]
human brain microvessel sample 1	Homo sapiens	brain microvessel	brain microvascular endothelial cell	1	LysCsample1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 1	Homo sapiens	brain microvessel	brain microvascular endothelial cell	1	TrypSample1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 2	Homo sapiens	brain microvessel	brain microvascular endothelial cell	2	LysCsample2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 2	Homo sapiens	brain microvessel	brain microvascular endothelial cell	2	TrypSample2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 3	Homo sapiens	brain microvessel	brain microvascular endothelial cell	3	LysCsample3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 3	Homo sapiens	brain microvessel	brain microvascular endothelial cell	3	TrypSample3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 4	Homo sapiens	brain microvessel	brain microvascular endothelial cell	4	LysCsample4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 4	Homo sapiens	brain microvessel	brain microvascular endothelial cell	4	TrypSample4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 5	Homo sapiens	brain microvessel	brain microvascular endothelial cell	5	LysCsample5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 6	Homo sapiens	brain microvessel	brain microvascular endothelial cell	6	LysCsample6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 6	Homo sapiens	brain microvessel	brain microvascular endothelial cell	6	TrypSample6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 7	Homo sapiens	brain microvessel	brain microvascular endothelial cell	7	LysCsample7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 7	Homo sapiens	brain microvessel	brain microvascular endothelial cell	7	TrypSample7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 8	Homo sapiens	brain microvessel	brain microvascular endothelial cell	8	LysCsample8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 8	Homo sapiens	brain microvessel	brain microvascular endothelial cell	8	TrypSample8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 9	Homo sapiens	brain microvessel	brain microvascular endothelial cell	9	LysCsample9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 9	Homo sapiens	brain microvessel	brain microvascular endothelial cell	9	TrypSample9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 10	Homo sapiens	brain microvessel	brain microvascular endothelial cell	10	LysCsample10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 10	Homo sapiens	brain microvessel	brain microvascular endothelial cell	10	TrypSample10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 11	Homo sapiens	brain microvessel	brain microvascular endothelial cell	11	LysCsample11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 11	Homo sapiens	brain microvessel	brain microvascular endothelial cell	11	TrypSample11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 12	Homo sapiens	brain microvessel	brain microvascular endothelial cell	12	LysCsample12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 12	Homo sapiens	brain microvessel	brain microvascular endothelial cell	12	TrypSample12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 13	Homo sapiens	brain microvessel	brain microvascular endothelial cell	13	LysCsample13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
human brain microvessel sample 13	Homo sapiens	brain microvessel	brain microvascular endothelial cell	13	TrypSample13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	TrypSample13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	trypsin
human brain microvessel sample 14	Homo sapiens	brain microvessel	brain microvascular endothelial cell	14	LysCsample14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	1	1	LysCsample14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Lys-C
