source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[treatment]
F2: 126, Sample, AMG_05	Homo sapiens	cell culture	1	20220827_HF2_01_PK_1_TMT12-TMT126	proteomic profiling by mass spectrometry	1	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	TMT126	1	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	AMG_05
F2: 127C, Sample, AMG_05	Homo sapiens	cell culture	2	20220827_HF2_01_PK_1_TMT12-TMT127C	proteomic profiling by mass spectrometry	1	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	TMT127C	1	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	AMG_05
F2: 128N, Sample, AMG_05	Homo sapiens	cell culture	3	20220827_HF2_01_PK_1_TMT12-TMT128N	proteomic profiling by mass spectrometry	1	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	TMT128N	1	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	AMG_05
F2: 132N, Sample, AMG_05	Homo sapiens	cell culture	4	20220827_HF2_01_PK_1_TMT12-TMT132N	proteomic profiling by mass spectrometry	1	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	TMT132N	1	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	AMG_05
F2: 127N, Sample, AMG_1	Homo sapiens	cell culture	1	20220827_HF2_01_PK_1_TMT12-TMT127N	proteomic profiling by mass spectrometry	1	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	TMT127N	1	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	AMG_1
F2: 129C, Sample, AMG_1	Homo sapiens	cell culture	2	20220827_HF2_01_PK_1_TMT12-TMT129C	proteomic profiling by mass spectrometry	1	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	TMT129C	1	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	AMG_1
F2: 131N, Sample, AMG_1	Homo sapiens	cell culture	3	20220827_HF2_01_PK_1_TMT12-TMT131N	proteomic profiling by mass spectrometry	1	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	TMT131N	1	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	AMG_1
F2: 131C, Sample, AMG_1	Homo sapiens	cell culture	4	20220827_HF2_01_PK_1_TMT12-TMT131C	proteomic profiling by mass spectrometry	1	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	TMT131C	1	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	AMG_1
F2: 128C, Sample, DMSO	Homo sapiens	cell culture	1	20220827_HF2_01_PK_1_TMT12-TMT128C	proteomic profiling by mass spectrometry	1	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	TMT128C	1	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	DMSO
F2: 129N, Sample, DMSO	Homo sapiens	cell culture	2	20220827_HF2_01_PK_1_TMT12-TMT129N	proteomic profiling by mass spectrometry	1	20220827_HF2_01_PK_1_TMT12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	TMT129N	1	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Variable	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	DMSO
