source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted sample id]
Xenopus oocyte submitted sample S1	Xenopus laevis	oocyte	1	OR13_20160722_HP_Merlijn_S1A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	A	1	OR13_20160722_HP_Merlijn_S1A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S1
Xenopus oocyte submitted sample S1	Xenopus laevis	oocyte	1	OR13_20160722_HP_Merlijn_S1B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	B	1	OR13_20160722_HP_Merlijn_S1B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S1
Xenopus oocyte submitted sample S1	Xenopus laevis	oocyte	1	OR13_20160722_HP_Merlijn_S1C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	C	1	OR13_20160722_HP_Merlijn_S1C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S1
Xenopus oocyte submitted sample S1	Xenopus laevis	oocyte	1	OR13_20160725_HP_Merlijn_S1A_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	A	2	OR13_20160725_HP_Merlijn_S1A_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S1
Xenopus oocyte submitted sample S1	Xenopus laevis	oocyte	1	OR13_20160725_HP_Merlijn_S1B_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	B	2	OR13_20160725_HP_Merlijn_S1B_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S1
Xenopus oocyte submitted sample S1	Xenopus laevis	oocyte	1	OR13_20160725_HP_Merlijn_S1C_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	C	2	OR13_20160725_HP_Merlijn_S1C_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S1
Xenopus oocyte submitted sample S2	Xenopus laevis	oocyte	2	OR13_20160725_HP_Merlijn_S2A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	A	1	OR13_20160725_HP_Merlijn_S2A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S2
Xenopus oocyte submitted sample S2	Xenopus laevis	oocyte	2	OR13_20160725_HP_Merlijn_S2B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	B	1	OR13_20160725_HP_Merlijn_S2B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S2
Xenopus oocyte submitted sample S2	Xenopus laevis	oocyte	2	OR13_20160725_HP_Merlijn_S2C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	C	1	OR13_20160725_HP_Merlijn_S2C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S2
Xenopus oocyte submitted sample S3	Xenopus laevis	oocyte	3	OR13_20160725_HP_Merlijn_S3A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	A	1	OR13_20160725_HP_Merlijn_S3A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	S3
