source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[culture format]	factor value[culture medium]
2D monolayer, ENR, replicate 1	Homo sapiens	small intestine epithelium	intestinal epithelial cell	1	2D_ENR_1_L_220330	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2D_ENR_1_L_220330.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2D monolayer	medium deprived of Wnt3a, with EGF, Noggin, and R-spondin
2D monolayer, ENR, replicate 1	Homo sapiens	small intestine epithelium	intestinal epithelial cell	1	2D_ENR_1_T_220330	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2D_ENR_1_T_220330.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2D monolayer	medium deprived of Wnt3a, with EGF, Noggin, and R-spondin
2D monolayer, ENR, replicate 2	Homo sapiens	small intestine epithelium	intestinal epithelial cell	2	2D_ENR_2_L_220330	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2D_ENR_2_L_220330.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2D monolayer	medium deprived of Wnt3a, with EGF, Noggin, and R-spondin
2D monolayer, ENR, replicate 2	Homo sapiens	small intestine epithelium	intestinal epithelial cell	2	2D_ENR_2_T_220330	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2D_ENR_2_T_220330.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2D monolayer	medium deprived of Wnt3a, with EGF, Noggin, and R-spondin
2D monolayer, ENR, replicate 3	Homo sapiens	small intestine epithelium	intestinal epithelial cell	3	2D_ENR_3_L_220330	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2D_ENR_3_L_220330.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2D monolayer	medium deprived of Wnt3a, with EGF, Noggin, and R-spondin
2D monolayer, ENR, replicate 3	Homo sapiens	small intestine epithelium	intestinal epithelial cell	3	2D_ENR_3_T_220330	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2D_ENR_3_T_220330.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2D monolayer	medium deprived of Wnt3a, with EGF, Noggin, and R-spondin
2D monolayer, OGM, replicate 1	Homo sapiens	small intestine epithelium	intestinal epithelial cell	1	2D_OGM_1_L_220330	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2D_OGM_1_L_220330.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2D monolayer	organoid growth medium
2D monolayer, OGM, replicate 1	Homo sapiens	small intestine epithelium	intestinal epithelial cell	1	2D_OGM_1_T_220330	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2D_OGM_1_T_220330.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2D monolayer	organoid growth medium
2D monolayer, OGM, replicate 2	Homo sapiens	small intestine epithelium	intestinal epithelial cell	2	2D_OGM_2_L_220330	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2D_OGM_2_L_220330.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2D monolayer	organoid growth medium
2D monolayer, OGM, replicate 2	Homo sapiens	small intestine epithelium	intestinal epithelial cell	2	2D_OGM_2_T_220330	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2D_OGM_2_T_220330.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2D monolayer	organoid growth medium
2D monolayer, OGM, replicate 3	Homo sapiens	small intestine epithelium	intestinal epithelial cell	3	2D_OGM_3_L_220330	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2D_OGM_3_L_220330.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2D monolayer	organoid growth medium
2D monolayer, OGM, replicate 3	Homo sapiens	small intestine epithelium	intestinal epithelial cell	3	2D_OGM_3_T_220330	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2D_OGM_3_T_220330.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2D monolayer	organoid growth medium
2D monolayer, cENR, replicate 1	Homo sapiens	small intestine epithelium	intestinal epithelial cell	1	2D_cENR_1_L_220330	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2D_cENR_1_L_220330.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2D monolayer	commercial ENR
2D monolayer, cENR, replicate 1	Homo sapiens	small intestine epithelium	intestinal epithelial cell	1	2D_cENR_1_T_220330	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2D_cENR_1_T_220330.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2D monolayer	commercial ENR
2D monolayer, cENR, replicate 2	Homo sapiens	small intestine epithelium	intestinal epithelial cell	2	2D_cENR_2_L_220330	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	2D_cENR_2_L_220330.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2D monolayer	commercial ENR
