source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[lon protease status]	factor value[time point]
Pseudomonas-aeruginosa-set1-GMKJAK_1	Pseudomonas aeruginosa	not applicable	1	20210618_GMKJAK_1_16__set1-TMT126	proteomic profiling by mass spectrometry	1	20210618_GMKJAK_1_16__set1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT126	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	EV	0 min
Pseudomonas-aeruginosa-set1-GMKJAK_2	Pseudomonas aeruginosa	not applicable	1	20210618_GMKJAK_1_16__set1-TMT127N	proteomic profiling by mass spectrometry	1	20210618_GMKJAK_1_16__set1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT127N	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	EV	60 min
Pseudomonas-aeruginosa-set1-GMKJAK_3	Pseudomonas aeruginosa	not applicable	1	20210618_GMKJAK_1_16__set1-TMT127C	proteomic profiling by mass spectrometry	1	20210618_GMKJAK_1_16__set1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT127C	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	lonOE	0 min
Pseudomonas-aeruginosa-set1-GMKJAK_4	Pseudomonas aeruginosa	not applicable	1	20210618_GMKJAK_1_16__set1-TMT128N	proteomic profiling by mass spectrometry	1	20210618_GMKJAK_1_16__set1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT128N	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	lonOE	60 min
Pseudomonas-aeruginosa-set1-GMKJAK_5	Pseudomonas aeruginosa	not applicable	2	20210618_GMKJAK_1_16__set1-TMT128C	proteomic profiling by mass spectrometry	1	20210618_GMKJAK_1_16__set1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT128C	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	EV	0 min
Pseudomonas-aeruginosa-set1-GMKJAK_6	Pseudomonas aeruginosa	not applicable	2	20210618_GMKJAK_1_16__set1-TMT129N	proteomic profiling by mass spectrometry	1	20210618_GMKJAK_1_16__set1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT129N	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	EV	30 min
Pseudomonas-aeruginosa-set1-GMKJAK_7	Pseudomonas aeruginosa	not applicable	2	20210618_GMKJAK_1_16__set1-TMT129C	proteomic profiling by mass spectrometry	1	20210618_GMKJAK_1_16__set1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT129C	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	EV	60 min
Pseudomonas-aeruginosa-set1-GMKJAK_8	Pseudomonas aeruginosa	not applicable	2	20210618_GMKJAK_1_16__set1-TMT130N	proteomic profiling by mass spectrometry	1	20210618_GMKJAK_1_16__set1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT130N	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	lonOE	0 min
Pseudomonas-aeruginosa-set1-GMKJAK_9	Pseudomonas aeruginosa	not applicable	2	20210618_GMKJAK_1_16__set1-TMT130C	proteomic profiling by mass spectrometry	1	20210618_GMKJAK_1_16__set1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT130C	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	lonOE	30 min
Pseudomonas-aeruginosa-set1-GMKJAK_10	Pseudomonas aeruginosa	not applicable	2	20210618_GMKJAK_1_16__set1-TMT131N	proteomic profiling by mass spectrometry	1	20210618_GMKJAK_1_16__set1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	TMT131N	1	10 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	lonOE	60 min
