source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	characteristics[genotype]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[ms1 scan range]	comment[ms2 scan range]	factor value[genotype]
MEF-P4ha3-ko-1	Mus musculus	embryo	embryonic fibroblast	1	normal	cell line	embryo	MEF cell line	not available	not available	not available	Dulbecco's Modified Eagle Medium	not available	P4ha3-/-	200408_Col_s1	proteomic profiling by mass spectrometry	1	200408_Col_s1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	7 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,K,P;MT=Variable	300m/z-2000m/z	200m/z-2000m/z	P4ha3-/-
MEF-P4ha3-ko-2	Mus musculus	embryo	embryonic fibroblast	2	normal	cell line	embryo	MEF cell line	not available	not available	not available	Dulbecco's Modified Eagle Medium	not available	P4ha3-/-	200408_Col_s2	proteomic profiling by mass spectrometry	1	200408_Col_s2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	7 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,K,P;MT=Variable	300m/z-2000m/z	200m/z-2000m/z	P4ha3-/-
MEF-P4ha3-ko-3	Mus musculus	embryo	embryonic fibroblast	3	normal	cell line	embryo	MEF cell line	not available	not available	not available	Dulbecco's Modified Eagle Medium	not available	P4ha3-/-	200408_Col_s3	proteomic profiling by mass spectrometry	1	200408_Col_s3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	7 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,K,P;MT=Variable	300m/z-2000m/z	200m/z-2000m/z	P4ha3-/-
MEF-WT-1	Mus musculus	embryo	embryonic fibroblast	1	normal	cell line	embryo	MEF cell line	not available	not available	not available	Dulbecco's Modified Eagle Medium	not available	wild type	200408_Col_s4	proteomic profiling by mass spectrometry	1	200408_Col_s4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	7 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,K,P;MT=Variable	300m/z-2000m/z	200m/z-2000m/z	wild type
MEF-WT-2	Mus musculus	embryo	embryonic fibroblast	2	normal	cell line	embryo	MEF cell line	not available	not available	not available	Dulbecco's Modified Eagle Medium	not available	wild type	200408_Col_s5	proteomic profiling by mass spectrometry	1	200408_Col_s5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	7 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,K,P;MT=Variable	300m/z-2000m/z	200m/z-2000m/z	wild type
MEF-WT-3	Mus musculus	embryo	embryonic fibroblast	3	normal	cell line	embryo	MEF cell line	not available	not available	not available	Dulbecco's Modified Eagle Medium	not available	wild type	200408_Col_s6	proteomic profiling by mass spectrometry	1	200408_Col_s6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	7 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,K,P;MT=Variable	300m/z-2000m/z	200m/z-2000m/z	wild type
MEF-WT-4	Mus musculus	embryo	embryonic fibroblast	4	normal	cell line	embryo	MEF cell line	not available	not available	not available	Dulbecco's Modified Eagle Medium	not available	wild type	200408_Col_s7	proteomic profiling by mass spectrometry	1	200408_Col_s7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	7 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,K,P;MT=Variable	300m/z-2000m/z	200m/z-2000m/z	wild type
MEF-WT-5	Mus musculus	embryo	embryonic fibroblast	5	normal	cell line	embryo	MEF cell line	not available	not available	not available	Dulbecco's Modified Eagle Medium	not available	wild type	200408_Col_s8	proteomic profiling by mass spectrometry	1	200408_Col_s8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	7 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,K,P;MT=Variable	300m/z-2000m/z	200m/z-2000m/z	wild type
MEF-P4ha1-ko-1	Mus musculus	embryo	embryonic fibroblast	1	normal	cell line	embryo	MEF cell line	not available	not available	not available	Dulbecco's Modified Eagle Medium	not available	P4ha1-/-	200408_Col_s12	proteomic profiling by mass spectrometry	1	200408_Col_s12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	7 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,K,P;MT=Variable	300m/z-2000m/z	200m/z-2000m/z	P4ha1-/-
MEF-P4ha1-ko-2	Mus musculus	embryo	embryonic fibroblast	2	normal	cell line	embryo	MEF cell line	not available	not available	not available	Dulbecco's Modified Eagle Medium	not available	P4ha1-/-	200408_Col_s13	proteomic profiling by mass spectrometry	1	200408_Col_s13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27% NCE	7 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,K,P;MT=Variable	300m/z-2000m/z	200m/z-2000m/z	P4ha1-/-
