source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]
PXD067416-190902_CTNNB1_2	Homo sapiens	cell culture	1	not available	not available	190902_CTNNB1_2	proteomic profiling by mass spectrometry	1	190902_CTNNB1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	label free sample	1
PXD067416-190902_BirAC_1	Homo sapiens	cell culture	2	not available	not available	190902_BirAC_1	proteomic profiling by mass spectrometry	1	190902_BirAC_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	label free sample	1
PXD067416-190430_CTNNB1	Homo sapiens	cell culture	3	not available	not available	190430_CTNNB1	proteomic profiling by mass spectrometry	1	190430_CTNNB1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	label free sample	1
PXD067416-190905_CTNNB1_1	Homo sapiens	cell culture	4	not available	not available	190905_CTNNB1_1	proteomic profiling by mass spectrometry	1	190905_CTNNB1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	label free sample	1
PXD067416-191118_CTNNB1_TID_05	Homo sapiens	cell culture	5	not available	not available	191118_CTNNB1_TID_05	proteomic profiling by mass spectrometry	1	191118_CTNNB1_TID_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	label free sample	1
PXD067416-190902_CTNNB1_1	Homo sapiens	cell culture	6	not available	not available	190902_CTNNB1_1	proteomic profiling by mass spectrometry	1	190902_CTNNB1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	label free sample	1
PXD067416-190905_BirAC_2	Homo sapiens	cell culture	7	not available	not available	190905_BirAC_2	proteomic profiling by mass spectrometry	1	190905_BirAC_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	label free sample	1
PXD067416-191118_CTNNB1_TID_3	Homo sapiens	cell culture	8	not available	not available	191118_CTNNB1_TID_3	proteomic profiling by mass spectrometry	1	191118_CTNNB1_TID_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	label free sample	1
PXD067416-190430_BirAC	Homo sapiens	cell culture	9	not available	not available	190430_BirAC	proteomic profiling by mass spectrometry	1	190430_BirAC.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	label free sample	1
PXD067416-191118_TID_05	Homo sapiens	cell culture	10	not available	not available	191118_TID_05	proteomic profiling by mass spectrometry	1	191118_TID_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	label free sample	1
