source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[experimental group]
C2C12 Sc sample 1	Mus musculus	cell culture	C2C12	1	Sc_1_fraction_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	1	1	221125_C2C12_Sc1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Sc
C2C12 Sc sample 1	Mus musculus	cell culture	C2C12	1	Sc_1_fraction_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	2	1	221125_C2C12_Sc1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Sc
C2C12 Sc sample 2	Mus musculus	cell culture	C2C12	2	Sc_2_fraction_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	1	1	221125_C2C12_Sc2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Sc
C2C12 Sc sample 2	Mus musculus	cell culture	C2C12	2	Sc_2_fraction_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	2	1	221125_C2C12_Sc2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Sc
C2C12 Sc sample 3	Mus musculus	cell culture	C2C12	3	Sc_3_fraction_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	1	1	221125_C2C12_Sc3_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Sc
C2C12 Sc sample 3	Mus musculus	cell culture	C2C12	3	Sc_3_fraction_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	2	1	221125_C2C12_Sc3_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Sc
C2C12 Sc sample 4	Mus musculus	cell culture	C2C12	4	Sc_4_fraction_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	1	1	221125_C2C12_Sc4_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Sc
C2C12 Sc sample 4	Mus musculus	cell culture	C2C12	4	Sc_4_fraction_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	2	1	221125_C2C12_Sc4_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Sc
C2C12 Si sample 1	Mus musculus	cell culture	C2C12	1	Si_1_fraction_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	1	1	221125_C2C12_Si1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Si
C2C12 Si sample 1	Mus musculus	cell culture	C2C12	1	Si_1_fraction_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	2	1	221125_C2C12_Si1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Si
