source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[genotype]
PANC-1 C16orf87 knockout replicate 1	Homo sapiens	cell culture	PANC-1	1	PAN_1_fraction_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	1	1	220623_PAN_1-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	C16orf87 knockout
PANC-1 C16orf87 knockout replicate 1	Homo sapiens	cell culture	PANC-1	1	PAN_1_fraction_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	2	1	220623_PAN_1-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	C16orf87 knockout
PANC-1 C16orf87 knockout replicate 1	Homo sapiens	cell culture	PANC-1	1	PAN_1_fraction_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	3	1	220623_PAN_1-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	C16orf87 knockout
PANC-1 C16orf87 knockout replicate 1	Homo sapiens	cell culture	PANC-1	1	PAN_1_fraction_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	4	1	220623_PAN_1-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	C16orf87 knockout
PANC-1 C16orf87 knockout replicate 1	Homo sapiens	cell culture	PANC-1	1	PAN_1_fraction_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	5	1	220623_PAN_1-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	C16orf87 knockout
PANC-1 C16orf87 knockout replicate 1	Homo sapiens	cell culture	PANC-1	1	PAN_1_fraction_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	6	1	220623_PAN_1-6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	C16orf87 knockout
PANC-1 C16orf87 knockout replicate 1	Homo sapiens	cell culture	PANC-1	1	PAN_1_fraction_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	7	1	220623_PAN_1-7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	C16orf87 knockout
PANC-1 C16orf87 knockout replicate 1	Homo sapiens	cell culture	PANC-1	1	PAN_1_fraction_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	8	1	220623_PAN_1-8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	C16orf87 knockout
PANC-1 C16orf87 knockout replicate 1	Homo sapiens	cell culture	PANC-1	1	PAN_1_fraction_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	9	1	220623_PAN_1-9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	C16orf87 knockout
PANC-1 C16orf87 knockout replicate 1	Homo sapiens	cell culture	PANC-1	1	PAN_1_fraction_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	10	1	220623_PAN_1-10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	C16orf87 knockout
PANC-1 C16orf87 knockout replicate 2	Homo sapiens	cell culture	PANC-1	2	PAN_2_fraction_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	1	1	220623_PAN_2-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	C16orf87 knockout
PANC-1 C16orf87 knockout replicate 2	Homo sapiens	cell culture	PANC-1	2	PAN_2_fraction_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	2	1	220623_PAN_2-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	C16orf87 knockout
PANC-1 C16orf87 knockout replicate 2	Homo sapiens	cell culture	PANC-1	2	PAN_2_fraction_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	3	1	220623_PAN_2-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	C16orf87 knockout
PANC-1 C16orf87 knockout replicate 2	Homo sapiens	cell culture	PANC-1	2	PAN_2_fraction_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	4	1	220623_PAN_2-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	C16orf87 knockout
PANC-1 C16orf87 knockout replicate 2	Homo sapiens	cell culture	PANC-1	2	PAN_2_fraction_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=.;MT=Variable	5	1	220623_PAN_2-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	C16orf87 knockout
