source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[enrichment process]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[cell line]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[SUMO inhibitor]	factor value[antibody]	factor value[time]
CEBPA_DMSO_24hE2	Homo sapiens	blood	B cell	pooled	pooled	acute leukemia	cell line	chromatin immunoprecipitation	not available	not available	not available	BLaER1	CEBPA_DMSO_24hE2_rep1-3.d	proteomic profiling by mass spectrometry	1	CEBPA_DMSO_24hE2_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	DMSO	CEBPA	24 hour
mouse_IgG_antibody_6hE2	Homo sapiens	blood	B cell	pooled	pooled	acute leukemia	cell line	chromatin immunoprecipitation	not available	not available	not available	BLaER1	mouse_IgG_antibody_6hE2_rep1-3.d	proteomic profiling by mass spectrometry	1	mouse_IgG_antibody_6hE2_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	not available	mouse IgG	6 hour
rabbit_IgG_antibody_DMSO_24hE2	Homo sapiens	blood	B cell	pooled	pooled	acute leukemia	cell line	chromatin immunoprecipitation	not available	not available	not available	BLaER1	rabbit_IgG_antibody_DMSO_24hE2_rep1-3.d	proteomic profiling by mass spectrometry	1	rabbit_IgG_antibody_DMSO_24hE2_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	DMSO	rabbit IgG	24 hour
SUMO23_6hE2	Homo sapiens	blood	B cell	pooled	pooled	acute leukemia	cell line	chromatin immunoprecipitation	not available	not available	not available	BLaER1	SUMO23_6hE2_rep1-3.d	proteomic profiling by mass spectrometry	1	SUMO23_6hE2_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	not available	SUMO2/3	6 hour
CEBPA_SUMOi_0hE2	Homo sapiens	blood	B cell	pooled	pooled	acute leukemia	cell line	chromatin immunoprecipitation	not available	not available	not available	BLaER1	CEBPA_SUMOi_0hE2_rep1-3.d	proteomic profiling by mass spectrometry	1	CEBPA_SUMOi_0hE2_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	ML792	CEBPA	0 hour
SUMO23_24hE2	Homo sapiens	blood	B cell	pooled	pooled	acute leukemia	cell line	chromatin immunoprecipitation	not available	not available	not available	BLaER1	SUMO23_24hE2_rep1-3.d	proteomic profiling by mass spectrometry	1	SUMO23_24hE2_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	not available	SUMO2/3	24 hour
CEBPA_DMSO_0hE2	Homo sapiens	blood	B cell	pooled	pooled	acute leukemia	cell line	chromatin immunoprecipitation	not available	not available	not available	BLaER1	CEBPA_DMSO_0hE2_rep1-3.d	proteomic profiling by mass spectrometry	1	CEBPA_DMSO_0hE2_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	DMSO	CEBPA	0 hour
rabbit_IgG_antibody_DMSO_0hE2	Homo sapiens	blood	B cell	pooled	pooled	acute leukemia	cell line	chromatin immunoprecipitation	not available	not available	not available	BLaER1	rabbit_IgG_antibody_DMSO_0hE2_rep1-3.d	proteomic profiling by mass spectrometry	1	rabbit_IgG_antibody_DMSO_0hE2_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	DMSO	rabbit IgG	0 hour
CEBPA_SUMOi_6hE2	Homo sapiens	blood	B cell	pooled	pooled	acute leukemia	cell line	chromatin immunoprecipitation	not available	not available	not available	BLaER1	CEBPA_SUMOi_6hE2_rep1-3.d	proteomic profiling by mass spectrometry	1	CEBPA_SUMOi_6hE2_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	ML792	CEBPA	6 hour
rabbit_IgG_antibody_SUMOi_0hE2	Homo sapiens	blood	B cell	pooled	pooled	acute leukemia	cell line	chromatin immunoprecipitation	not available	not available	not available	BLaER1	rabbit_IgG_antibody_SUMOi_0hE2_rep1-3.d	proteomic profiling by mass spectrometry	1	rabbit_IgG_antibody_SUMOi_0hE2_rep1-3.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Biotin;AC=UNIMOD:3;TA=K;MT=Variable	NT=Biotin;AC=UNIMOD:3;PP=Protein N-term;MT=Variable	ML792	rabbit IgG	0 hour
