source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[treatment]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]
PXD072143-600_ng_duc_superb_C6R_260414_Slot1-15_1_4210.d	Homo sapiens	blood	1	not available	not available	not available	not available	600_ng_duc_superb_C6R_260414_Slot1-15_1_4210.d	proteomic profiling by mass spectrometry	1	600_ng_duc_superb_C6R_260414_Slot1-15_1_4210.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD072143-600_ng_duc_ev_C1R_260414_Slot1-7_1_4198.d	Homo sapiens	blood	2	not available	not available	not available	not available	600_ng_duc_ev_C1R_260414_Slot1-7_1_4198.d	proteomic profiling by mass spectrometry	1	600_ng_duc_ev_C1R_260414_Slot1-7_1_4198.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD072143-600_ng_duc_super_C5R_260414_Slot1-12_1_4205.d	Homo sapiens	blood	3	not available	not available	not available	not available	600_ng_duc_super_C5R_260414_Slot1-12_1_4205.d	proteomic profiling by mass spectrometry	1	600_ng_duc_super_C5R_260414_Slot1-12_1_4205.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD072143-600_ng_duc_ev_C5R_260414_Slot1-13_1_4207.d	Homo sapiens	blood	4	not available	not available	not available	not available	600_ng_duc_ev_C5R_260414_Slot1-13_1_4207.d	proteomic profiling by mass spectrometry	1	600_ng_duc_ev_C5R_260414_Slot1-13_1_4207.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD072143-600_ng_duc_ev_C6R_260414_Slot1-16_1_4211.d	Homo sapiens	blood	5	not available	not available	not available	not available	600_ng_duc_ev_C6R_260414_Slot1-16_1_4211.d	proteomic profiling by mass spectrometry	1	600_ng_duc_ev_C6R_260414_Slot1-16_1_4211.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD072143-600_ng_duc_super_C1R_260414_Slot1-6_1_4196.d	Homo sapiens	blood	6	not available	not available	not available	not available	600_ng_duc_super_C1R_260414_Slot1-6_1_4196.d	proteomic profiling by mass spectrometry	1	600_ng_duc_super_C1R_260414_Slot1-6_1_4196.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD072143-600_ng_C1_250512_Slot1-7_1_2279.d	Homo sapiens	blood	7	not available	not available	not available	not available	600_ng_C1_250512_Slot1-7_1_2279.d	proteomic profiling by mass spectrometry	1	600_ng_C1_250512_Slot1-7_1_2279.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD072143-600_ng_483_250512_Slot1-14_1_2289.d	Homo sapiens	blood	8	not available	not available	not available	not available	600_ng_483_250512_Slot1-14_1_2289.d	proteomic profiling by mass spectrometry	1	600_ng_483_250512_Slot1-14_1_2289.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD072143-600_ng_DIA_NET274_1UC_qEV_F1-F6_250120_Slot1-11_1_1958.d	Homo sapiens	blood	9	not available	not available	not available	not available	600_ng_DIA_NET274_1UC_qEV_F1-F6_250120_Slot1-11_1_1958.d	proteomic profiling by mass spectrometry	1	600_ng_DIA_NET274_1UC_qEV_F1-F6_250120_Slot1-11_1_1958.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-independent acquisition;AC=PRIDE:0000628	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD072143-600_ng_DIA_NET222_UC_qEV_250120_Slot1-7_1_1952.d	Homo sapiens	blood	10	not available	not available	not available	not available	600_ng_DIA_NET222_UC_qEV_250120_Slot1-7_1_1952.d	proteomic profiling by mass spectrometry	1	600_ng_DIA_NET222_UC_qEV_250120_Slot1-7_1_1952.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-independent acquisition;AC=PRIDE:0000628	NT=timsTOF HT;AC=MS:1003404	NT=Trypsin;AC=MS:1001251	label free sample	1
