source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[raw acquisition series]
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_49	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	49	1	Fusion_170109_49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_50	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	50	1	Fusion_170109_50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_51	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	51	1	Fusion_170109_51.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_52	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	52	1	Fusion_170109_52.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_56	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	56	1	Fusion_170109_56.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_57	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	57	1	Fusion_170109_57.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_58	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	58	1	Fusion_170109_58.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_59	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	59	1	Fusion_170109_59.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_60	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	60	1	Fusion_170109_60.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_62	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	62	1	Fusion_170109_62.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_63	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	63	1	Fusion_170109_63.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_64	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	64	1	Fusion_170109_64.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_65	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	65	1	Fusion_170109_65.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_67	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	67	1	Fusion_170109_67.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_68	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	68	1	Fusion_170109_68.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
pooled human plasma TMT sample (Fusion_170109)	Homo sapiens	blood plasma	1	Fusion_170109_69	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	69	1	Fusion_170109_69.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Fusion_170109
