accession	verdict	evidence	in_corpus	title
PXD012034	confirmed	countries=['Finland']		Analysis of plasma proteome of pregnant women with polycystic ovary syndrome (PCOS
PXD023546	confirmed	countries=['Finland']		Renal Cell Carcinoma (Renca) Extracellular Vesicles under Hypoxia and Normoxia
PXD041792	confirmed	countries=['Finland']		BioID screening experiment to map proteins linked to PHYHD1
PXD045589	confirmed	countries=['Finland']		Enrichment of sweat-derived extracellular vesicles of human and bacterial origin for biomarker ident
PXD045755	confirmed	countries=['Finland']		Bacterial extracellular vesicles of human amniotic fluid and maternal feces
PXD047290	confirmed	countries=['Finland']		Proteomic analysis in wild bilberry (Vaccinium myrtillus L.) during fruit ripening
PXD047510	confirmed	countries=['Finland']	yes	Gut microbiome-derived bacterial extracellular vesicles in patients with solid tumours
PXD050033	confirmed	countries=['Finland']	yes	Gut microbiota -derived extracellular vesicles in patients with obesity undergoing gastric bypass su
PXD052294	confirmed	countries=['Finland']	yes	USP10 knockout in human HCT116  cells
PXD059764	confirmed	countries=['Finland']	yes	Gut microbiota-derived extracellular vesicles of patients with Parkinson's disease
PXD065046	confirmed	countries=['Finland']		MS analysis of collagen extracted from  CRISPR/Cas9 edited mouse embryonic fibroblasts having either
