accession	platform	instrument	publication_date	title
PAD000001	explore	Olink Explore 1536	2025-03-31	Individual glycemic responses to carbohydrates vary and reflect underlying metabolic physiology (Olink)
PAD000002	explore_ht	Olink Explore HT	2025-05-12	A Technical Evaluation of Plasma Proteomics Technologies
PAD000003	not Olink	SomaScan assay v4.1	2025-03-17	Multi-omics identify LRRC15 as a COVID-19 severity predictor and persistent pro-thrombotic signals in convalescence
PAD000004	target	Olink Target 96	2025-10-15	Clinical efficacy and biomarker analysis of stereotactic body radiotherapy combined with sintilimab and a bevacizumab biosimilar in anti-PD-1 refractory hepatocellular carcinoma
PAD000005	explore	Olink Explore 384	2025-03-05	Machine learning-based plasma proteomic analysis identifies a novel disease-defining biomarkers
PAD000006	explore	Olink Explore	2025-11-10	In-depth plasma proteomics of patients with suspected lung cancer (lung adenocarcinoma and non-cancer controls) with Olink Explore 3072
PAD000008	target	Olink Target 96	2025-04-15	Targeted plasma proteomics reveals organ damage signatures of AIDS-related and non-communicable chronic diseases-related deaths in HIV population
PAD000009	reveal	Olink Reveal	2025-06-03	Evaluation of Olink Reveal Proximity Extension Assay for High-Throughput Proteomics: A Case Study Using NIST SRM 1950 and Spike-In Protein Standards
PAD000010	not Olink	SomaScan assay v4.1	2025-11-17	Human whole plasma RFU quantitative proteomics for pre-post meditation retreat
PAD000011	not Olink	SomaScan assay v4.1	2026-09-06	The effect of preanalytical factors on cerebrospinal fluid and plasma proteomics
PAD000013	not Olink	SomaScan assay v4.0	2025-12-04	Plasma Proteomic Profiling Identifies a Six-Protein Panel for Grading and Predicting Intervertebral Disc Degeneration
PAD000014	not Olink	SomaScan assay v4.1	2025-10-09	Human Plasma Discovery Proteomics
PAD000016	explore_ht	Olink Explore HT	2025-09-16	Plasma Proteome adaptations in Feminising Gender Affirming Hormone therapy and Pregnancy
PAD000019	explore_ht	Olink Explore HT	2025-10-09	Human Plasma Discovery Proteomics
PAD000020	not Olink	SomaScan assay v4.1	2025-10-20	Human Plasma Discovery Proteomics
PAD000021	not Olink	SomaScan assay v4.1	2025-10-28	The Childhood Acute Illness and Nutrition (CHAIN) network nested case-cohort study: Plasma Proteomics analysis using SomaScan assay
PAD000022	explore	Olink Explore	2025-11-06	Human Plasma Discovery Proteomics
PAD000024	unspecified	Olink instrument model	2026-05-24	Major depressive disorder shares systemic immune signatures and potential therapeutic targets with inflammatory skin diseases
PAD000026	not Olink	SomaScan assay v4.1	2026-01-21	Charting the Circulating Proteome in ME/CFS Using Cross System Profiling to Uncover Mechanistic Insights
PAD000028	target	Olink Target 96	2026-09-24	Platelet Activation for identification of late onset sepsis in preterm infants
PAD000030	explore	Olink Explore 3072/384	2026-02-13	Research Dataset for Immune-Related Adverse Events Affecting the Central Nervous System
PAD000032	target	Olink Target 96	2026-06-06	Targeted Plasma Proteomics Reveals a Central Role of Upregulated TNFRSF Proteins in HIV-associated Stroke: A Cross-sectional Discovery and Longitudinal Validation Study
PAD000033	explore	Olink Explore 3072/384	2026-03-31	A lipid–immune network signature defines susceptibility to asparaginase-associated pancreatitis
PAD000034	not Olink	SomaScan assay v4.1	2026-06-14	Advanced Proteomic Profiling DemonsAdvanced Proteomic Profiling Demonstrates Clinical Utility of Patient-Centric, at-Home Dried Blood Sample Collection trates Clinical Utility of Patient-Centric, at-Home Dried Blood Sample Collection
PAD000035	explore	Olink Explore 3072/384	2026-05-29	Febrile Infant Diagnostic Assessment and Outcome Olink Dataset
PAD000036	not Olink	SomaScan assay v4.1	2026-04-02	Multicohort analysis unveils axon guidance pathways linking small for gestational age to spirometric restriction.
PAD000037	unspecified	Olink instrument model	2026-04-23	Pathogenic atypical Treg in ICI‑induced inflammatory arthritis and abrogation by IL‑6R blockadeblockade
PAD000040	target	Olink Target 96	2026-06-07	Inflammatory proteomics heterogeneity beyond glycemia status in severe obesity
PAD000041	target	Olink Target 96	2026-04-28	Longitudinal Olink affinity proteomics profiling of cytokine release syndrome in myeloma patients receiving BCMA-directed CAR-T therapy
PAD000044	target	Olink Target	2026-06-26	Secretome analysis (Olink® Target 48 Cytokine panel) of MAIT cell-derived media after the exposure to IL-33, IL-12p70 or their combination
PAD000045	not Olink	SomaScan assay v4.0	2026-05-19	Early clinical and biomarker responses after treatment in patients with non-segmental vitiligo.
PAD000050	explore_ht	Olink Explore HT	2026-09-07	A Discovery Protein Panel for Brain Predicted Age Discordance Using MRI in Neurologically Healthy Individuals
PAD000051	not Olink	SomaScan assay v4.1	2026-09-08	SomaScan of Plasma from Psilocybin-Treated Human Participants
PAD000052	explore_ht	Olink Explore HT	2026-07-28	Plasma proteomics defines two reproducible subphenotypes of sepsis-associated acute kidney injury with distinct outcomes
PAD000053	explore_ht	Olink Explore HT	2026-09-14	Exploratory proteomic biomarker combinations associated with post-concussion symptoms following a concussion in adolescents
PAD000055	explore_ht	Olink Explore HT	2026-09-02	A Discovery Plasma Proteome Signature in Military Personnel with Chronic PTSD Symptoms
