rank	accession	total_bytes	raw_bytes	raw_files	all_files
1	PXD033168	913103137895	342687149159	343	357
2	PXD019910	725963427054	697308606579	606	608
3	PXD062585	363076276336	362850518798	360	361
4	PXD026313	337533186578	162966273028	177	202
5	PXD016519	313837686241	302651319323	108	133
6	PXD011527	208857701940	204179166020	148	150
7	PXD005041	183100810737	181628370635	48	50
8	PXD042671	157524009945	83430676698	160	164
9	PXD003764	145353999981	144442478126	206	207
10	PXD021218	140079432944	64895734992	130	141
11	PXD065508	139486829367	55166388824	108	119
12	PXD025390	139397622544	75381878291	120	129
13	PXD006770	137032193785	134908704040	197	206
14	PXD025358	120470746041	70690655181	120	132
15	PXD010939	117640485952	94540735278	136	143
16	PXD029937	116192683894	58119563942	120	127
17	PXD059639	114292639603	111394142717	27	30
18	PXD047125	109061042961	67233900170	113	164
19	PXD044416	104021576287	102354309288	198	204
20	PXD048896	92682187444	89802850903	31	34
21	PXD036306	90394553144	65265848665	139	141
22	PXD024786	84989108881	48486694516	102	105
23	PXD012802	82513893047	39098822850	70	82
24	PXD031763	78767144307	31219091652	60	71
25	PXD029798	78008252691	37596937620	80	84
26	PXD074337	75869770720	38282642400	50	54
27	PXD003495	75435775104	60950702497	72	77
28	PXD004863	75068277691	72586076372	36	78
29	PXD027187	74499451802	48717687706	80	86
30	PXD003075	73784602236	70248284779	30	75
31	PXD014178	64840586827	61776666280	78	160
32	PXD012851	62608185809	54975881624	27	57
33	PXD069845	61916067086	61680235844	185	202
34	PXD052791	60607109757	59091771839	68	71
35	PXD017715	59827913482	47832367882	101	105
36	PXD012803	58548420237	25214202358	30	35
37	PXD023033	56901283406	55265411870	108	217
38	PXD018592	56442572098	54868873600	22	24
39	PXD012632	55979832395	55974423506	117	118
40	PXD035100	54832136826	54706234236	50	52
41	PXD021694	54015993093	30276602310	60	63
42	PXD063324	50387023802	20012127074	36	39
43	PXD028613	49213123856	47554754283	54	57
44	PXD025436	48004502630	42262156215	85	116
45	PXD018116	43591797175	25449550210	60	66
46	PXD023792	42927827300	28515933436	70	72
47	PXD015859	41738162783	30202936361	80	85
48	PXD033377	41323553836	18775834500	40	44
49	PXD029212	40725865910	20863110912	40	44
50	PXD007533	40167553206	39449391416	36	37
