Sample_Type,SampleID,PlateID,Sample well,OlinkID,UniProt,Assay,MissingFreq,Panel,Panel_Lot_Nr,QC_Warning,LOD,NPX,Normalization,Assay_Warning,ExploreVersion
SAMPLE,1,ClareMills_QUB_PlateLayout1,15,OID20790,Q86VW0,SESTD1,0.1989,Neurology,B23408,PASS,-1.0973,-0.8589,Intensity,PASS,3.8.1
SAMPLE,1,ClareMills_QUB_PlateLayout1,15,OID20791,P53539,FOSB,0.0114,Neurology,B23408,PASS,-1.8713,-0.6822,Intensity,PASS,3.8.1
SAMPLE,1,ClareMills_QUB_PlateLayout1,15,OID20792,Q92597,NDRG1,0.0057,Neurology,B23408,PASS,-2.1772,-0.6387,Intensity,PASS,3.8.1
SAMPLE,1,ClareMills_QUB_PlateLayout1,15,OID20793,A1E959,ODAM,0.0057,Neurology,B23408,PASS,-4.2171,-0.1957,Intensity,PASS,3.8.1
SAMPLE,1,ClareMills_QUB_PlateLayout1,15,OID20794,P60484,PTEN,0,Neurology,B23408,PASS,-2.1467,-0.0233,Intensity,PASS,3.8.1
SAMPLE,1,ClareMills_QUB_PlateLayout1,15,OID20795,Q8IU54,IFNL1,0.0341,Neurology,B23408,PASS,-4.873,-2.6591,Intensity,PASS,3.8.1
SAMPLE,1,ClareMills_QUB_PlateLayout1,15,OID20796,P51531,SMARCA2,0.1591,Neurology,B23408,PASS,-0.6226,-1.7376,Intensity,PASS,3.8.1
SAMPLE,1,ClareMills_QUB_PlateLayout1,15,OID20797,O14579,COPE,0.1989,Neurology,B23408,PASS,-0.8194,-0.1887,Intensity,PASS,3.8.1
SAMPLE,1,ClareMills_QUB_PlateLayout1,15,OID20798,P15336,ATF2,0.0341,Neurology,B23408,PASS,-1.0528,-0.8807,Intensity,PASS,3.8.1
SAMPLE,1,ClareMills_QUB_PlateLayout1,15,OID20799,P53985,SLC16A1,0.0057,Neurology,B23408,PASS,-4.5682,-0.8234,Intensity,PASS,3.8.1
SAMPLE,1,ClareMills_QUB_PlateLayout1,15,OID20800,P02533,KRT14,0.6591,Neurology,B23408,PASS,0.0382,1.3932,Intensity,PASS,3.8.1
SAMPLE,1,ClareMills_QUB_PlateLayout1,15,OID20801,P22676,CALB2,0.0114,Neurology,B23408,PASS,-2.2277,0.1718,Intensity,PASS,3.8.1
SAMPLE,1,ClareMills_QUB_PlateLayout1,15,OID20803,Q4LE39,ARID4B,0.0625,Neurology,B23408,PASS,-0.877,0.0061,Intensity,PASS,3.8.1
SAMPLE,1,ClareMills_QUB_PlateLayout1,15,OID20804,Q9NSK7,C19orf12,0.0114,Neurology,B23408,PASS,-2.4001,-1.141,Intensity,PASS,3.8.1
SAMPLE,1,ClareMills_QUB_PlateLayout1,15,OID20805,Q8WTV0,SCARB1,0.0511,Neurology,B23408,PASS,-1.0176,0.1638,Intensity,PASS,3.8.1
SAMPLE,1,ClareMills_QUB_PlateLayout1,15,OID20806,Q9UKV5,AMFR,0.392,Neurology,B23408,PASS,-0.3084,-0.5001,Intensity,PASS,3.8.1
