SampleID,Index,OlinkID,UniProt,Assay,MissingFreq,Panel,Panel_Version,PlateID,QC_Warning,MaxLOD,LOD,NPX,Olink_NPX_Signature_Version,Normalization,Project,Olink NPX Signature Version,QC Deviation Inc Ctrl,QC Deviation Det Ctrl,Adj_factor,AssayFlag
58,1,OID00471,P10145,IL8,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.31638384,0.105590976,4.810513314,1.11.0,IPC Normalized,plate1,,,,-0.097821698,FALSO
58,1,OID00472,P15692,VEGFA,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.827394752,0.653896622,10.19208937,1.11.0,IPC Normalized,plate1,,,,-0.050209234,FALSO
58,1,OID05124,P01732,CD8A,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,-0.528457163,-0.618235857,6.227188394,1.11.0,IPC Normalized,plate1,,,,0.006134438,FALSO
58,1,OID00474,P80098,MCP-3,0.055555556,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.736372646,0.628737493,1.457859226,1.11.0,IPC Normalized,plate1,,,,0.013815931,FALSO
58,1,OID00475,P39905,GDNF,0.044444444,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.674566862,0.566825877,1.224143738,1.11.0,IPC Normalized,plate1,,,,0.012462191,FALSO
58,1,OID00476,Q9H5V8,CDCP1,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,-0.260803438,-0.358016337,2.803253165,1.11.0,IPC Normalized,plate1,,,,0.004104382,FALSO
58,1,OID00477,Q9BZW8,CD244,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.945746569,0.868350189,5.92239546,1.11.0,IPC Normalized,plate1,,,,0.048282136,FALSO
58,1,OID00478,P13232,IL7,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,-0.020333672,0.030494785,0.958005348,1.11.0,IPC Normalized,plate1,,,,0.15700102,FALSO
58,1,OID00479,O00300,OPG,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,-0.103707404,-0.098218742,9.473554179,1.11.0,IPC Normalized,plate1,,,,0.10997784,FALSO
58,1,OID00480,P01137,LAP TGF-beta-1,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.339589143,-0.188689736,4.505763043,1.11.0,IPC Normalized,plate1,,,,-0.41483918,FALSO
58,1,OID00481,P00749,uPA,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.041400779,0.012886138,9.348419049,1.11.0,IPC Normalized,plate1,,,,0.078904391,FALSO
58,1,OID00482,P05231,IL6,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.13035165,-0.151484924,1.841739273,1.11.0,IPC Normalized,plate1,,,,-0.17262155,FALSO
58,1,OID00483,Q9P0M4,IL-17C,0.077777778,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.674474619,0.443513839,2.837751427,1.11.0,IPC Normalized,plate1,,,,-0.110759467,FALSO
58,1,OID00484,P13500,MCP-1,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.115197834,0.119613703,10.18796838,1.11.0,IPC Normalized,plate1,,,,0.113324924,FALSO
58,1,OID00485,Q16552,IL-17A,0.211111111,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.280066992,0.116490776,-0.147104341,1.11.0,IPC Normalized,plate1,,,,-0.051338318,FALSO
58,1,OID00486,O14625,CXCL11,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.34790453,0.029726856,5.583515998,1.11.0,IPC Normalized,plate1,,,,-0.20457008,FALSO
58,1,OID00487,O15169,AXIN1,0.066666667,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,-0.030987557,-0.077889954,0.915536179,1.11.0,IPC Normalized,plate1,,,,0.059055055,FALSO
58,1,OID00488,P50591,TRAIL,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.220295383,0.40423472,8.351226542,1.11.0,IPC Normalized,plate1,,,,0.294970398,FALSO
58,1,OID00489,Q9UHF4,IL-20RA,0.244444444,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.107080383,-0.006686216,0.437323736,1.11.0,IPC Normalized,plate1,,,,-0.005021442,FALSO
58,1,OID00490,Q07325,CXCL9,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.1518605,0.069984889,5.79167808,1.11.0,IPC Normalized,plate1,,,,0.027773693,FALSO
58,1,OID00491,P28325,CST5,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,-0.858756211,-1.127353003,5.720774589,1.11.0,IPC Normalized,plate1,,,,-0.179352669,FALSO
58,1,OID00492,P14784,IL-2RB,0.888888889,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.881393808,0.76929605,0.336089287,1.11.0,IPC Normalized,plate1,,,,0.012281423,FALSO
58,1,OID00493,P01583,IL-1 alpha,0.788888889,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.294931191,0.312023201,0.161689912,1.11.0,IPC Normalized,plate1,,,,0.12963003,FALSO
58,1,OID00494,P13725,OSM,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.156625282,0.311772341,4.053922968,1.11.0,IPC Normalized,plate1,,,,0.264892568,FALSO
58,1,OID00495,P60568,IL2,1,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.261730184,0.136513555,-0.596834604,1.11.0,IPC Normalized,plate1,,,,-0.013348966,VERO
58,1,OID00496,P09341,CXCL1,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,1.520407884,1.322725102,6.728011078,1.11.0,IPC Normalized,plate1,,,,-0.060401383,FALSO
58,1,OID00497,Q969D9,TSLP,0.288888889,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.031307652,-0.101960637,0.248009906,1.11.0,IPC Normalized,plate1,,,,-0.026053046,FALSO
58,1,OID00498,P13236,CCL4,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,-0.069184563,0.008769499,5.889392701,1.11.0,IPC Normalized,plate1,,,,0.183140286,FALSO
58,1,OID00499,P30203,CD6,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.033609683,-0.353456752,4.959921361,1.11.0,IPC Normalized,plate1,,,,-0.279804711,FALSO
58,1,OID00500,P21583,SCF,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,-0.005030396,-0.0040289,9.120336688,1.11.0,IPC Normalized,plate1,,,,0.107483045,FALSO
58,1,OID00501,Q14116,IL18,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,-0.236317554,-0.439597112,7.449775009,1.11.0,IPC Normalized,plate1,,,,-0.101467888,FALSO
58,1,OID00502,Q13291,SLAMF1,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.236347106,-0.061376328,1.307312152,1.11.0,IPC Normalized,plate1,,,,-0.186368276,FALSO
58,1,OID00503,P01135,TGF-alpha,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,-1.511505879,-1.657790715,1.506312826,1.11.0,IPC Normalized,plate1,,,,-0.070220265,FALSO
58,1,OID00504,Q99616,MCP-4,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.938132982,0.959087924,13.75868504,1.11.0,IPC Normalized,plate1,,,,0.146479733,FALSO
58,1,OID00505,P51671,CCL11,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,-0.085862189,-0.43859493,5.908522893,1.11.0,IPC Normalized,plate1,,,,-0.247883253,FALSO
58,1,OID00506,O43557,TNFSF14,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,-0.18847484,-0.189335848,3.820008862,1.11.0,IPC Normalized,plate1,,,,0.101916647,FALSO
58,1,OID00507,Q9GZV9,FGF-23,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.308444233,0.088739819,1.282956493,1.11.0,IPC Normalized,plate1,,,,-0.106893556,FALSO
58,1,OID00508,Q13651,IL-10RA,0.044444444,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,-0.339678667,-0.712635533,-0.654916279,1.11.0,IPC Normalized,plate1,,,,-0.27323214,FALSO
58,1,OID00509,P12034,FGF-5,0.666666667,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.006999766,-0.097024073,-0.102765526,1.11.0,IPC Normalized,plate1,,,,0.002700608,FALSO
58,1,OID00510,P03956,MMP-1,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,-0.781641916,-0.653075867,11.76552725,1.11.0,IPC Normalized,plate1,,,,0.219367174,FALSO
58,1,OID00511,P42702,LIF-R,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,0.008647509,-0.380652364,2.980301321,1.11.0,IPC Normalized,plate1,,,,-0.282542156,FALSO
58,1,OID00512,Q9NSA1,FGF-21,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,-0.139679184,0.172715594,5.848778763,1.11.0,IPC Normalized,plate1,,,,0.416157657,FALSO
58,1,OID00513,Q99731,CCL19,0,Olink Inflammation,Olink Target 96 Inflammation,Inflammation F.I.F 21/03/2024,Pass,1.132806691,0.820306973,9.272575309,1.11.0,IPC Normalized,plate1,,,,-0.183044304,FALSO
