Product;Panel;PanelVersion;PlateID;WellID;SampleID;SampleType;Assay;UniProt;OlinkID;Ct;NPX;LOD;BelowLOD;QuantifiedValue;Unit;LODQuant;LLOQ;LQL;BelowLQL;ULOQ;AboveULOQ;SampleQC;AssayQC;MissingFreq;Normalization;SoftwareVersion;SoftwareName;AssayType;QCDeviationDetCtrl;QCDeviationIncCtrl
TARGET48;Olink Target 48 Cytokine;932007;MAIT_Alarmins2;F6;Calibrator1;CALIBRATOR;CCL11;P51671;OID05594;1.299.897;912.456;0.21887;FALSE;5.128.137;pg/mL;NA;0.23842;0.23842;FALSE;1.562.499.998;FALSE;PASS;PASS;100.000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.07601;-0.08709
TARGET48;Olink Target 48 Cytokine;932007;MAIT_Alarmins2;F6;Calibrator1;CALIBRATOR;CCL13;Q99616;OID05602;1.286.294;1.219.793;189.189;FALSE;3.673.674;pg/mL;0.00983;0.05960;0.05960;FALSE;195.312.500;FALSE;PASS;PASS;0.95000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.07601;-0.08709
TARGET48;Olink Target 48 Cytokine;932007;MAIT_Alarmins2;F6;Calibrator1;CALIBRATOR;CCL19;Q99731;OID05607;1.470.321;1.200.073;367.277;FALSE;7.213.571;pg/mL;0.22569;0.95367;0.95367;FALSE;97.656.250;FALSE;PASS;PASS;0.92500;Calibrator Normalized;2.2.1;NPX Signature;assay;0.07601;-0.08709
TARGET48;Olink Target 48 Cytokine;932007;MAIT_Alarmins2;F6;Calibrator1;CALIBRATOR;CCL2;P13500;OID05619;1.073.151;1.263.156;122.028;FALSE;21.118.148;pg/mL;0.02018;0.23842;0.23842;FALSE;390.625.002;FALSE;PASS;PASS;0.05000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.07601;-0.08709
TARGET48;Olink Target 48 Cytokine;932007;MAIT_Alarmins2;F6;Calibrator1;CALIBRATOR;CCL3;P10147;OID05611;1.541.944;951.858;417.314;FALSE;987.043;pg/mL;0.23003;0.02980;0.23003;FALSE;195.312.500;FALSE;PASS;PASS;0.20000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.07601;-0.08709
TARGET48;Olink Target 48 Cytokine;932007;MAIT_Alarmins2;F6;Calibrator1;CALIBRATOR;CCL4;P13236;OID05623;1.382.679;919.896;182.062;FALSE;4.938.590;pg/mL;0.16914;0.11921;0.16914;FALSE;390.625.001;FALSE;PASS;PASS;0.17500;Calibrator Normalized;2.2.1;NPX Signature;assay;0.07601;-0.08709
TARGET48;Olink Target 48 Cytokine;932007;MAIT_Alarmins2;F6;Calibrator1;CALIBRATOR;CCL7;P80098;OID05626;1.741.127;800.571;203.377;FALSE;595.257;pg/mL;0.06196;0.11921;0.11921;FALSE;195.312.500;FALSE;PASS;PASS;0.60000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.07601;-0.08709
TARGET48;Olink Target 48 Cytokine;932007;MAIT_Alarmins2;F6;Calibrator1;CALIBRATOR;CCL8;P80075;OID05580;1.137.833;1.062.247;0.43965;FALSE;2.058.850;pg/mL;NA;0.02980;0.02980;FALSE;195.312.500;FALSE;PASS;PASS;0.12500;Calibrator Normalized;2.2.1;NPX Signature;assay;0.07601;-0.08709
TARGET48;Olink Target 48 Cytokine;932007;MAIT_Alarmins2;F6;Calibrator1;CALIBRATOR;CSF1;P09603;OID05622;1.275.617;1.108.947;0.28542;FALSE;11.462.147;pg/mL;0.00433;0.23842;0.23842;FALSE;390.624.999;FALSE;PASS;PASS;0.15000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.07601;-0.08709
TARGET48;Olink Target 48 Cytokine;932007;MAIT_Alarmins2;F6;Calibrator1;CALIBRATOR;CSF2;P04141;OID05614;1.785.935;877.225;282.514;FALSE;754.199;pg/mL;0.09231;0.47684;0.47684;FALSE;781.250.002;FALSE;PASS;PASS;0.40000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.07601;-0.08709
TARGET48;Olink Target 48 Cytokine;932007;MAIT_Alarmins2;F6;Calibrator1;CALIBRATOR;CSF3;P09919;OID05615;1.776.020;680.975;166.410;FALSE;37.697.319;pg/mL;651.449;1.615.770;1.615.770;FALSE;6.250.000.009;FALSE;PASS;PASS;0.97500;Calibrator Normalized;2.2.1;NPX Signature;assay;0.07601;-0.08709
TARGET48;Olink Target 48 Cytokine;932007;MAIT_Alarmins2;F6;Calibrator1;CALIBRATOR;CXCL10;P02778;OID05604;1.255.185;1.032.064;100.269;FALSE;5.144.873;pg/mL;0.01649;0.09121;0.09121;FALSE;434.462.448;FALSE;PASS;PASS;0.12500;Calibrator Normalized;2.2.1;NPX Signature;assay;0.07601;-0.08709
TARGET48;Olink Target 48 Cytokine;932007;MAIT_Alarmins2;F6;Calibrator1;CALIBRATOR;CXCL11;O14625;OID05624;1.477.003;749.123;0.48431;FALSE;1.212.817;pg/mL;0.00538;0.11921;0.11921;FALSE;195.312.499;FALSE;PASS;PASS;0.60000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.07601;-0.08709
TARGET48;Olink Target 48 Cytokine;932007;MAIT_Alarmins2;F6;Calibrator1;CALIBRATOR;CXCL12;P48061;OID05582;2.114.282;426.364;236.161;FALSE;13.028.551;pg/mL;3.695.991;3.051.758;3.695.991;FALSE;3.124.999.966;FALSE;PASS;WARN;100.000;Calibrator Normalized;2.2.1;NPX Signature;assay;0.07601;-0.08709
